reward,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
-1470.367097,-1536.725995,-1330.936743,-1436.432371,-1495.284864,-1470.369242,-1675.061089,-1756.61873,-1238.798572,-1590.009367,-1409.588275
-1447.598276,-1503.633322,-1658.559514,-1297.814517,-1784.539273,-1546.715153,-1382.376615,-1266.342096,-1660.118255,-1841.550217,-1455.001153
-1401.741956,-1482.518168,-1454.271869,-1272.901468,-1781.955237,-1307.530462,-1631.731416,-1196.942711,-1761.208644,-1815.59887,-1376.719627
-1618.797638,-1377.442854,-1934.299533,-1513.727197,-1347.85594,-1735.139904,-1669.244447,-1915.207968,-1337.534479,-1425.016186,-1352.670125
-1688.83589,-1306.6337,-1463.667053,-1493.431738,-1410.909581,-1656.626644,-1709.463671,-1343.993617,-1490.184047,-1730.181957,-1714.154523
-1406.751674,-1185.876415,-2460.846744,-1336.862688,-983.249815,-1586.905526,-1483.326927,-2429.245429,-1570.240448,-1627.537831,-1167.436532
-1260.513385,-1411.95005,-1314.05533,-2016.527882,-1938.371223,-1307.787465,-1484.213958,-1505.336063,-1642.461035,-1624.543617,-1384.780634
-1664.233646,-1578.265777,-1787.742188,-1363.929285,-1337.846894,-1411.972418,-1554.57941,-1101.891412,-1259.694391,-1506.921821,-1303.627589
-1351.400236,-1334.696697,-1287.043801,-1458.479228,-1228.148952,-1854.020567,-1792.541103,-1795.170502,-1907.063273,-1694.800397,-1495.191131
-1495.367318,-1731.889663,-1719.304358,-1637.312733,-1196.210231,-1260.038739,-1587.644841,-2236.070882,-2077.68402,-1533.306692,-1575.840669
-1315.647361,-1383.457614,-1897.20836,-1161.353456,-1505.62342,-1388.247332,-1675.66124,-1537.470448,-2058.310095,-1249.829655,-1567.817201
-1678.268516,-1571.130775,-1481.93029,-1419.264524,-1676.780568,-1596.496201,-1613.444766,-1935.941336,-1433.558891,-1416.083077,-1493.47466
-1197.501921,-1571.25935,-1271.778695,-1501.305267,-1346.094309,-1364.390136,-1679.743413,-1423.067571,-1497.71918,-1620.256897,-2000.944019
-1137.011576,-1683.044585,-1269.344012,-1287.721553,-1294.677297,-1523.564942,-1505.833956,-1566.335222,-1179.530664,-1141.070165,-1433.709577
-1440.043388,-1472.284494,-1433.010017,-1350.328359,-1449.561807,-1321.814084,-1450.455233,-1824.036193,-1695.836744,-1516.374509,-1339.173112
-1221.76655,-1421.902683,-1755.300542,-1461.602604,-1533.13326,-1347.234206,-1441.859766,-1805.42279,-1249.092321,-1796.299271,-1435.077248
-1284.877964,-1257.693825,-1119.496578,-1242.343621,-1801.737944,-1582.382432,-1301.946728,-1129.138662,-1464.244864,-1506.52825,-1666.545199
-1266.244758,-1438.054911,-1412.584626,-1524.829598,-1338.264073,-1063.833453,-1635.492364,-1787.701614,-1452.657939,-1997.452868,-2125.159595
-1405.342235,-1814.329096,-1648.910638,-1335.950667,-1580.87558,-1765.746061,-1678.836741,-1421.005339,-1341.185363,-1678.916389,-1499.089122
-1725.965216,-1441.101557,-1483.735932,-1147.25141,-1403.394634,-1576.419453,-1230.860966,-1379.791343,-1961.873153,-1321.332341,-1473.618798
-1639.901388,-1247.347475,-1595.643461,-1540.875852,-1482.150717,-1892.867131,-1156.417396,-1311.539885,-1294.611363,-1335.491936,-1288.621847
-1351.925731,-1744.931587,-1283.207818,-1392.861758,-1484.916259,-1371.707222,-1497.147938,-1576.997631,-1646.183225,-1572.259701,-1662.685601
-1717.47657,-1370.686437,-1646.732657,-1394.841492,-1880.959427,-1668.730001,-1234.802571,-1291.578305,-1287.703413,-1586.058728,-1055.265101
-1492.210547,-1604.994471,-1279.920658,-1510.562389,-1563.177906,-1358.329779,-1544.469249,-1421.121568,-1277.020512,-1617.009811,-1649.339783
-1385.463599,-1383.200121,-1386.302495,-1701.183502,-1441.764728,-1532.465243,-1797.668567,-1155.651081,-1974.417893,-1466.056886,-1688.955656
-2125.103685,-1477.305892,-1675.816981,-1425.682162,-1650.229191,-1450.566273,-1659.791791,-1095.332937,-1313.617538,-1736.846422,-1443.526965
-1365.111848,-1753.699496,-1775.485293,-1516.267206,-1836.349555,-1384.492784,-2006.857177,-1459.529929,-1633.686974,-1544.569276,-1288.540663
-1351.504873,-1393.388239,-1333.059477,-1173.246261,-1951.082168,-1505.308566,-1948.294797,-1384.152878,-2040.929597,-1852.600214,-1903.163336
-1800.235653,-1427.387009,-1334.547007,-1979.853147,-1591.646899,-1920.698778,-1401.637373,-2098.480705,-1605.367551,-1494.641226,-1845.066645
-1257.467773,-2007.357165,-1318.367976,-1441.838148,-1563.097479,-1581.304615,-1514.949591,-1287.580493,-1197.925883,-1222.064426,-1181.863579
-1160.265059,-1407.048308,-1503.351978,-1971.700289,-1479.915314,-2180.77798,-1110.530729,-1495.354436,-1640.088698,-1419.422058,-1929.738087
-1315.915498,-1349.371387,-1242.932846,-1186.712657,-1542.950071,-1454.858333,-1332.12825,-1462.363936,-1442.328908,-1304.886762,-1720.876758
-1490.470516,-1539.266604,-1445.906089,-1876.878896,-1558.929339,-1652.873237,-1649.01557,-1717.833527,-1506.775696,-1297.884739,-1722.866837
-1412.582159,-1311.091722,-1145.153925,-1364.122507,-1322.910807,-1302.574786,-1390.213997,-1145.011446,-1371.737577,-1698.906613,-1756.243547
-1722.270945,-1337.978855,-1089.270785,-1379.154028,-1727.042694,-1538.093312,-1523.558472,-1389.791246,-1573.380518,-1572.921884,-1654.280331
-1189.895638,-1741.269651,-2262.033738,-1569.187331,-1417.520621,-1566.633631,-1445.953306,-1332.298393,-1338.166147,-1555.021479,-1689.888693
-1353.936805,-1523.446517,-1739.500558,-1235.447433,-1410.04645,-1476.655962,-1570.726709,-1750.180297,-1394.251347,-1479.826352,-1786.484758
-2242.590459,-1583.110821,-1393.494663,-1357.222163,-1277.77453,-1388.451255,-1525.439934,-1294.259092,-1720.509648,-1401.166549,-1303.778684
-1446.210457,-1438.260717,-1621.520767,-982.775862,-1205.901645,-1483.712496,-1565.610007,-1648.38457,-1707.862528,-1470.306163,-1821.381476
-1442.036709,-1546.957026,-1388.614522,-1331.079417,-1597.874261,-1294.972349,-1553.842209,-1391.061836,-1890.981183,-1275.900266,-1225.39652
-1545.949192,-1521.159454,-1631.298699,-1820.963649,-1543.669973,-2036.149897,-1873.996809,-1419.341597,-1446.444438,-1288.134264,-1234.540861
-1193.210736,-1629.028827,-1909.95562,-2138.483056,-2054.016851,-1337.457269,-1456.566643,-1826.587469,-1661.779533,-1697.584723,-1520.840289
-1578.007738,-1500.553779,-1511.843824,-1350.709597,-1486.628108,-1613.567846,-1697.534745,-1584.604752,-1512.520377,-1934.666493,-1554.198837
-1161.424112,-1730.272867,-1323.27349,-1850.446933,-1589.174123,-1392.36202,-1453.058761,-1396.206006,-1649.739585,-1619.066079,-1722.814233
-1316.158482,-1382.281483,-1457.272531,-1150.686694,-1847.645438,-1366.549585,-1770.326126,-1366.157474,-1653.945719,-1797.415066,-1497.091617
-1342.09823,-1552.821491,-1735.639263,-1252.340725,-1632.047965,-1229.61737,-1368.488993,-1199.453488,-1809.081622,-1176.381305,-1661.2504
-1420.435122,-1248.133209,-2476.522269,-1237.883026,-1411.02804,-1370.155916,-1505.283671,-1710.590308,-1361.447679,-1268.81239,-1590.272215
-1469.371844,-1458.76724,-1871.483358,-1671.609752,-1553.064048,-1448.184644,-1726.811155,-1999.751591,-1868.265883,-1369.794379,-1557.547331
-1575.7251,-1467.809133,-1310.324655,-1787.226692,-1744.352534,-1519.836823,-1381.540833,-1441.327297,-1286.521308,-1202.880757,-1334.400751
-1238.88974,-1735.830783,-1450.632824,-1497.294158,-1863.357165,-1675.337421,-1578.261883,-1748.418552,-2261.108885,-1825.783717,-1160.92594
-1566.406912,-1464.977331,-1164.216757,-1711.785164,-1540.740758,-1339.960061,-1871.62754,-1344.258416,-1633.394523,-1190.659519,-1747.753199
-1491.866839,-1377.699092,-1710.931913,-1635.543993,-1319.227953,-1415.393963,-1430.003517,-1292.866644,-1496.765513,-1867.906867,-1443.025868
-1219.282951,-2030.189157,-1233.992723,-1299.757311,-2017.661694,-1543.213012,-1627.869677,-2118.298343,-1482.800299,-1398.926035,-1524.930936
-1439.77447,-1378.848081,-1785.212385,-1345.861859,-1772.385561,-1857.536214,-1356.977829,-2092.443072,-1621.192099,-1438.307005,-1460.735005
-1904.793761,-1383.933115,-1380.158863,-1287.033171,-1646.292273,-1345.323203,-1515.639514,-1482.921851,-1818.312069,-1296.98747,-1435.807015
-1138.690683,-1463.535472,-1356.426091,-1386.807253,-1749.820037,-1549.525268,-1626.219138,-1502.867804,-1338.331606,-1658.76485,-1394.319473
